CODICE,AUTORE,TITOLO,CASA EDITRICE,GENERE/COLLOCAZIONE,LINGUA,ANNO EDIZIONE,;
4317,silvio perrella,fino a salgareda,bur,narrativa,italiano,2003,
4318,fabio bussotti,l'invidia di vela' zquez,sironi,giallo,italiano,2008,
4319,stefan zweig,sovverimento dei sensi,corbaccio,romanzo,italiano,2005,
4320,ve'ronique ovalde',stanare l'animale,minimum fax,romanzo,italiano,2007,
4321,jennings momadi,bur,superbur,romanzo,italiano,2000,
4322,aavv,pene d'amore,guanda,romanzo,italiano,2008,
4323,philip roth,il complotto contro l'america,einaudi,romanzo,italiano,2005,
4324,ronan bennett,zugzwang mossa obbligata,ponte alle grazie,romanzo storico,italiano,2007,
4325,leonardo facco,umberto magno la vera storia dell'imperatore della padania,alberti,biografia,italiano,2011,
4326,mario vargas llosa,la zia julia e lo scribacchino,numeri primi,romanzo,italiano,2012,
4327,luigi bisignani,l'uomo che sussurra ai potenti,chiarelettere,storia,italiano,2013,
4328,autori vari,femmine femmine l'erorismo raccontato sognato e vissuto dalle donne,atantide,romanzo,italiano,2007,
4329,samuel benchetrit,diario di un cazzeggiatore,giulio perrone,umoristico,italiano,2010,
4330,tom rob smith,il rapporto segreto,sperling,romanzo,italiano,2009,
4331,giorgio falco,la gemella h,einaudi,romanzo,italiano,2014,
4332,j.courtney sullivan,come gocce di dale e di vento,garzanti,romanzo,italiano,2012,
4333,grete weil,conseguenze tardive,giuntina,romanzo,italiano,2008,
4334,anna moi,riso nero,e/o,romanzo,italiano,2007,
4335,pino cacucci,nahui,feltrinelli,romanzo,italiano,2009,
4336,pierre bottero,ewilan dei due mondi,mondadori,fantasy,italiano,2007,
4337,erri de luca gennaro matino,mestieri all'aria aperta,feltrinelli,filosofia e religioni,italiano,2004,
4338,vincenzo trione,atlanti metafisici,skira,arte e cultura del territorio,italiano,2005,
4339,antonio franchini,gladiatori,mondadori,letteratura d'inchiesta,italiano,2005,
4340,stanislaw lem,l'indgine del tenente gregory,boringhieri,giallo,italiano,2006,
4341,jurij druznikov,angeli sulla punta di uno spillo,barbera,romanzo,italiano,2006,
4342,thomas piketty,il capitale,bompiani,saggio,italiano,2015,
4343,sam savage,firmino,einaudi,romanzo,italiano,2007,
4344,pierre-jean remy,orient-express,rizzoli,romanzo,italiano,1980,
4345,carlotta mismetti capua,come due stelle nel mare,piemme,romanzo,italiano,2011,
4346,serena dandini,grazie per quella volta,rizzoli,saggi e inchieste,italiano,2012,
4347,judith hermann,nient'altro che fantasmi,socrates,romanzo,italiano,2008,
4348,angelo bona,ipnosi regressiva e psicoterapia dell'entusiasmo,mediterranee,manuale,italiano,2003,
4349,sherry argov,gli uomini preferiscono le stronze falli soffrire,piemme,romanzo,italiano,2012,
4350,salvatore coppola,quegli oscuri martiri del lavoro e della liberta' ,giorgiani,saggio storico,italiano,2014,
4351,gianni bono,i promessi paperi,corriere della sera,bambini e ragazzi,italiano,2006,
4352,caterina panareo,la ragazza con la valigia,giorgiani,romanzo,italiano,2016,
4353,agusto macchetto,topolino,walt disney,bambini e ragazzi,italiano,2001,
"4354,salvatore arnesano,la cgil; il salento,giorgiani,saggio storico,italiano,2015,"
4355,eleonora carantini,milano e' una seconda parigi,sellerio,romanzo,italiano,2007,
4356,mo yan,il supplizio del legno di sandalo,einaudi,romanzo,italiano,2005,
4357,aldo nove,giancarlo bigazzi:il geniaccio della canzone italiana,bompiani,biografia,italiano,2012,
4358,simona siri,lamento di una maggiorata,tea,romanzo,italiano,2012,
4359,martin walker,bruno' il commissario francese,sperling,giallo/thriller,italiano,2009,
4360,anita ganeri,travolgenti terremoti,salani,bambini e ragazzi,italiano,2002,
4361,ire'ne ne'mirovsy,i doni della vita,adelphi,classico,italiano,2009,
4362,paola mastrocola,non so niente di te,einaudi,romanzo,italiano,2013,
4363,ismail kadare',il crepuscolo degli dei della steppa,fandango,romanzo,italiano,2009,
4364,flavio barbiero,la bibbia senza segreti,profondo rosso,filosofia e religioni,italiano,2010,
4365,karin slaughter,abisso senza fine,time,giallo/thriller,italiano,2013,
4366,cesaremaria glori,la tragica morte di ippolito nievo,solfanelli,saggio storico,italiano,2010,
4367,stendhal,autobiografia del signor me stesso,melangolo,biografia,italiano,2007,
4368,elisabetta rasy,l'estranea,rizzoli,romanzo,italiano,2007,
4369,vittorino andreoli,il denaro in testa,rizzoli,saggio,italiano,2011,
4370,giuseppe genna,italia de profundis,minimum fax,romanzo,italiano,2008,
4371,federica pellegrini,io nuoto per amore,mondadori,biografia,italiano,2009,
4372,mike bongiorno,la versione di mike,mondadori,biografia,italiano,2007,
4373,annie jacobsen,area 51,piemme,scienze naturali e matematiche,italiano,2012,
4374,linda ferri,cecilia,eo,romanzo,italiano,2009,
4375,antonella cilento,isole senza mare,guanda,romanzo,italiano,2009,
4376,autori vari,quando i silenzi gridano,cittadella,letteratura d'inchiesta,italiano,2003,
4377,silvia ballestra,piove sul nostro amore,feltrinelli,romanzo,italiano,2008,
4378,tonino putzolu,i falchi lucenti dell'ascianghi,thyrus,romanzo,italiano,2012,
4379,matteo corona,nelle mani dell'uomo corvo,ebi,giallo/thriller,italiano,2011,
4380,andrea stella,due ruote sull'oceano,longanesi,biografia,italiano,2006,
4381,joshua ferris,e poi siamo arrivati alla fine,neri pozza,romanzo,italiano,2006,
4382,paola mastrocola,l'esercito delle cose inutili,einaudi,romanzo,italiano,2015,
4383,antonio pascale,le attenuanti sentimentali,einaudi,romanzo,italiano,2013,
4384,michel schneider,marilyn ultimi giorni ultima notte,bompiani,biografia,italiano,2007,
4385,antonio socci,indagine su gesu',rizzoli,letteratura d'inchiesta,italiano,2008,
4386,marisa ombra,donne manifeste,saggiatore,saggio storico,italiano,2005,
4387,domenico starnone,prima esecuzione,feltrinelli,romanzo,italiano,2007,
4388,louise candlish,da quando non ci sei,sperling,romanzo,italiano,2008,
4389,liza marklund,freddo sud,marsilio,romanzo,italiano,2011,
4390,valerio neri,anna e il meccanico,marsilio,romanzo,italiano,2005,
4391,jennifer l. armentrout,obsidian,giunti,romanzo,italiano,2013,
4392,alicia gime'nez-bartlett,morti di carta,sellerio,giallo,italiano,2002,
4393,francesco recami,il segreto di angela,sellerio,romanzo,italiano,2013,
4394,franco giustolisi,l'armadio della vergogna,beat,saggio storico,italiano,2004,
4395,anne tyler,la figlia perfetta,guanda,romanzo,italiano,2007,
4396,torsten krol,callisto,isbn,romanzo,italiano,2007,
4397,gustav seibt,roma o morte,garzanti,saggio storico,italiano,2005,
4398,giancarlo de cataldo,nell'ombra e nella luce,einaudi,romanzo,italiano,2014,
4399,giuseppe marcenaro,cimiteri,mondadori,saggio storico,italiano,2008,
4400,franco pulcini,gustav mahler,de sono,arte e cultura del territorio,italiano,2007,
4401,federico rampini,la speranza indiana,mondadori,umoristico,italiano,2007,
4402,severino colombo,101 stronzate a cui abbiamo creduto tutti,newton compton,umoristico,italiano,2011,
4403,pierre bourdieu,questa non e' un' autobiografia,feltrinelli,saggio,italiano,2004,
4404,ignacio ramonet,l'esplosione del giornalismo,intra moenia,saggio,italiano,2012,
4405,grandangolo,augusto e l'altro impero,corriere della sera,storia,italiano,2015,
4406,hans-dieter otto,gli errori militari che hanno cambiato la storia,newton compton editori,storia,italiano,2014,
4407,james joyce,finnegans wake,oscar mondadori,classico,italiano,2011,
4408,arthur conan doyle,le indagini di sherlock holmes la valle della paura,oscar mondadori,classico,italiano,2013,
4409,fabrizio barca-leandra d'antone-renato quaglia,storie interrotte il sud che ha fatto l'italia,editori laterza,saggio,italiano,2007,
4410,m.a.numminen,il tango e' la mia passione,edizioni socrates,romanzo,italiano,2006,
4411,gianni biondillo,pene d'amore,guanda,romanzo,italiano,2008,
4412,alessandro d'avenia,cio' che inferno non e' ,mondadori,romanzo,italiano,2014,
4413,ve'ronique ovalde',stanare l'animale,minimum fax,romanzo,italiano,2007,
4414,pierre-jean remy,orient-express,rizzoli,romanzo,italiano,1980,
4415,manuel loureiro,apocalizze z,teadue,romanzo,italiano,2013,
4416,sam savage,firmino,einaudistile libero big,romanzo,italiano,2008,
4417,alessandro stamer,panciollo:il terrore degli gnagnabhuu,musicaos,bambini e ragazzi,italiano,2016,
4418,michael ende,la terribile banda dei tredici pirati,salani,classici per ragazzi,italiano,2003,
4419,sigmund freud,psicologia della vita amorosa,newton compton editori,saggio,italiano,2014,
4420,arthur schopenhauer,l'arte di ottenere rispetto,newton compton editori,saggio,italiano,2014,
4421,enzo schilardi,quel semaforo rosso,martano editrice,romanzo,italiano,2004,
4422,luanne rice,un rifugio tra le tue braccia,mondolibri,romanzo,italiano,2004,
4423,jennifer l.armentrout,obsidian,giunti,narrativa,italiano,2013,5052,giuliano scabia,lettere a un lupo,casagrande,romanzo,italiano,2001
4424,a.vallardi,dizionario italiano/spagnolo,panorama,testi scolastici,italiano/spagnolo,1987,
4425,disney,topolino in una...storia speciale!,walt disney,bambini e ragazzi,italiano,1996,
4426,robert bolt,la missione,milanostampa,romanzo,italiano,1987,
4428,tony wolf-clementina copponi-romina ferrari,tocca senti e scopri come sono fatti i cuccioli,dami editore,bambini e ragazzi,italiano,2003,
4429,DeaKids,peppa pig l'armadio dei giocattoli,giunti kids,bambini e ragazzi,italiano,2013,
4430,roberto piumuni-giovanni caviezel,cenerentola e cappuccetto rosso,manni,bambini e ragazzi,italiano,2006,
4431,roberto piumuni-antonella abbatiello,le isole del mare,manni,poesia,italiano,2005,
4432,g.colaianni a.gustapane c.palmieri l.madonna g.ruggieri,di favola in favola,fondazione palmieri onlus,bambini e ragazzi,italiano,2015,
4433,edurne romo y elena ruiz,le ricette per il mio bambino feste e compleanni 1-5anni,sfera editore,bambini e ragazzi,italiano,2006,
4434,edurne romo y elena ruiz,le ricette per il mio bambino menu' in famiglia  1-5anni,sfera editore,bambini e ragazzi,italiano,2006,
4435,edurne romo y elena ruiz,le ricette per il mio bambino la sua prima pappa 6 mesi,sfera editore,bambini e ragazzi,italiano,2006,
4436,edurne romo y elena ruiz,le ricette per il mio bambino il bambino cresce 7-9 mesi,sfera editore,bambini e ragazzi,italiano,2006,
4437,edurne romo y elena ruiz,le ricette per il mio bambino a tavola con i grandi 10-12 mesi,sfera editore,bambini e ragazzi,italiano,2006,
4438,antonio socci,indagine su gesu',rizzoli,religione e flosofia,italiano,2009,
4439,antoine de saint-exepe'ry,il piccolo principe,bompiani,bambini e ragazzi,italiano,2013,
4440,federico rampini,la speranza indiana,mondadori,saggi e inchieste,italiano,2008,
4441,sergio chiamparino,onr,einaudi,romanzo,italiano,2013,
4442,carlo prosperi,david cronenberg divorati,bompiani,giallo/thriller,italiano,2014,
4443,audrey niffenegger,un'inquietante simmetria,mondadori,romanzo,italiano,2009,
4444,marilu' oliva,tu' la pagara' s!,elliot,romanzo,italiano,2010,
4445,eleonora carantini,milano e' una seconda parigi,selerio editore palermo,arte e clutura del territorio,italiano,2007,
4446,loredana lipperini michela murgia,l'ho uccisa perche' l'amavo,ido'la laterza,giallo/thriller,italiano,2018,
4447,mary guterson,qui tutto bene,sperling & kupfer,romanzo,italiano,2005,
4448,rolo diez,foglie nel vento,marco tropea editrice,romanzo,italiano,2006,
4449,jennifer donnelly,i giorni del te' e delle rose,tascabili sonzogno,romanzo,italiano,2010,
4450,mary higgins clark,prima di dirti addio,sperling & paperback,giallo/thriller,italiano,2003,
4451,cinzia tani,charleston,mondadori,romanzo,italiano,2010,
4452,nelson de mille,l'ospite pericoloso,mondadori,giallo/thriller,italiano,2009,
4453,jane corry,il segreto della collana di pelle,newton compton editori,romanzo,italiano,2011,
4454,eric lomax,le due vie del destino,vallardi,romanzo,italiano,2014,
4455,susan elizabeth phillips,il lago dei desideri,leggereditore,romanzo,italiano,2013,
4456,oscar wilde,aforismi sulla saggezza, giunti demetra,poesie/aforismi,italiano,2013,
4457,martin l.gross,scrutatori di cervelli,bompiani,romanzo,italiano,1964,
4458,enzo vergori,gli uomini bambini,grafiche panico galatina,poesie/aforismi,italiano,1990,
4459,teresio blanchessi,101 proverbi d'amore,giunti demetra,poesie/aforismi,italiano,2008,
4460,barbara berger,la via al potere,armenia,scienze sociali,italiano,2004,
4461,osho,osho il libro dei segreti,bompiani,religione,italiano,2005,
4462,clarissa pinkola este's,donne che corrono coi lupi,frassinelli,romanzo,italiano,2011,
4463,erika scarano,il circolo della vita,edizioni del grifo,romanzo,italiano,2006,
4464,vittoria haziel,ritorno alla luce,sperling&kupfer editori,scienze sociali,italiano,1999,
4465,giovanni falcone,cose di casa nostra,printed in italy,biografico/letteratura d'inchiesta,italiano,1993,
4466,giobbe covatta,Dio li fa e poi li accoppa,milanostampa,umoristico,italiano,1999,
4467,harmony jolly,segretaria tuttofare,mondadori,romanzo,italiano,1990,
4468,jan uwe rogge,non c'e' famiglia senza caos,net,scienze sociali,italiano,2003,
4469,epicuro,lettere sulla fisica sul cielo e sulla felicita' ,corriere della sera,classico,italiano,2012,
4470,platone,apologia di socrate critone,corriere della sera,classico,italiano,2012,
4471,sofocle,antigone edipo re,corriere della sera,classico,italiano,2012,
4472,cicerone,l'amicizia,corriere della sera,classico,italiano,2012,
4473,i classici del pensiero libero,antonio gramsci lettere dal carcere,corriere della sera,biografia,italiano,2012,
4474,mario gerevini e simona ravizza,i segreti di don verze',corriere della sera,saggi e inchieste,italiano,2012,
4475,silicon valley,10 storie geniali che hanno cambiato il mondo,millionaire,romanzo,italiano,2012,
4476,howard reid,la storia segreta di re artu',newton compton editori,saggio storico,italiano,2003,
4477,bronislaw geremek,salariati e artigiani nella parigi medievale,sansoni,saggio storico,italiano,1975,
4478,francesco giuseppe romeo,pirati e corsari nel mediterraneo,capone,saggio storico,italiano,2000,
4479,gianguido pagi palumbo,storia d'italia cortissima: 1860 - 2010: 150 anni,ediesse,saggio storico,italiano,2011,
4480,hermann schluter,la prima internazionale in america. un contributo alla storia,lotta comunista,saggio storico,italiano,2015,
4481,sofia di sciascio,insediamenti dei padri minimi in puglia. per una storia dell'arte,congedo,storia locale,italiano,2010,
4482,friedrich engels,storia e lingua dei germani,editori riuniti,saggio storico,italiano,1974,
4483,peter singer,marx,dall'oglio/oxford,filosofia e religioni,italiano,1980,
4484,arrigo cervetto,lenin e la rivoluzione cinese,university press,filosofia e religioni,italiano,2005,
4485,charles fourier,l'armonia universale,editori riuniti,filosofia e religioni,italiano,1978,
4486,jonathan coe,la casa del sonno,feltrinelli,giallo/thriller,italiano,2013,
4487,aleksandar hemon,spie di dio,einaudi,romanzo,italiano,2003,
4488,amos oz,non dire notte,mondolibri,romanzo,italiano,2007,
4489,tony wolf,dlin dlon arriva il postino,dami,bambini e ragazzi,italiano,2009,
4490,tony wolf,teddy e il suo telefono,dami,bambini e ragazzi,italiano,2009,
4491,disney,la bella e la besta un incontro speciale,walt disney,bambini e ragazzi,italiano,2012,
4492,fiona watt,dov'e' il mio camion?,usborne,bambini e ragazzi,italiano,2002,
4493,tony wolf,muuu,dami,bambini e ragazzi,italiano,2013,
4494,ali mcnamara,il piccolo negozio di fiori in riva al mare,newton compton,narrativa,italiano,2016,
4495,cinzia giorgio,la collezione di libri proibiti,newton compton,romanzo,italiano,2016,
4496,dinah jefferies,il profumo delle foglie di te',newton compton,romanzo,italiano,2015,
4497,danielle steel,una volta nella vita,oscar mondadori,romanzo,italiano,1989,
4498,harold robbins,l'uomo che non sapeva amare,club italiano dei lettori,romanzo,italiano,1977,
4499,g. ruffini,il dottor antonio,fratelli fabbri editori,romanzo,italiano,1968,
4500,delly,figlia del mistero,salani,romanzo,italiano,1989,
4501,jack higgins,a solo,club italiano dei lettori,giallo/thriller,italiano,1981,
4502,janice graham,come vento sulla prateria,sperling e kupfer,romanzo,italiano,1999,
4503,anne-olivier,le confidenze di mariapia,fratelli fabbri editori,romanzo,italiano,1968,
4504,de la bre'te,mio zio e il mio curato,salani,romanzo,italiano,1963,
4505,mura,piccola,sonzogno,romanzo,italiano,1977,
4506,emilio de marchi,demetrio pianelli,i centauri,romanzo,italiano,1967,
4507,massimo d'azeglio,ettore fieramosca,i centauri,romanzo,italiano,1967,
4508,a. puskin,la figlia del capitano,fratelli fabbri editori,classico,italiano,1968,
4509,f. domenico guerrazzi,il buco nel muro,i centauri,romanzo,italiano,2011,
4510,colleen mcqllough,uccelli di rovo,bompiani,classico,italiano,1983,
4511,carlo castellaneta,villa di delizia,rizzoli,romanzo,italiano,1975,
4512,elio vittorini,piccola borghesia,oscar mondadori,classico,italiano,1976,
4513,carlo sgorlon,la carrozza di rame,club degli editori,romanzo,italiano,1979,
4514,irwin shaw,una vita nel vuoto,club degli editori,romanzo,italiano,1979,
4515,delly,il tesoro nascosto,salai,romanzo,italiano,1960,
4516,gaston leroux,il fantasma dell'opera,gente,classico,italiano,1989,
4517,liala,l'azzurro nella vetrata,sonzogno,romanzo,italiano,1977,
4518,sidney sheldon,linea di sangue,club degli editori,giallo/thriller,italiano,1979,
4519,alberto solari,mezza moneta per dodo,fratelli fabbri editori,romanzo,italiano,1968,
4520,o. feuillet,il romanzo di un giovane povero,fratelli fabbri editori,romanzo,italiano,1968,
4521,heinz g. konsalik,un matrimonio felice,club italiano dei lettori,romanzo,italiano,1979,
4522,scott turow,l'onore della prova,cde,giallo/thriller,italiano,1990,
4523,luciana peverelli,la lunga notte,rizzoli,romanzo,italiano,1975,
4524,benedetta parodi,le ricette di cotto e mangiato,rti,manuale,italiano,2009,
4525,liala,il sole se tramonta puo' tornare,sonzogno,romanzo,italiano,1973,
4526,a.de lamartine,graziella,fratelli fabbri editori,romanzo,italiano,1968,
4527,howard fast,seconda generazione,club degli editori,romanzo,italiano,1979,
4528,vicki baum,i pescecani del pacifico,mondadori,romanzo,italiano,1960,
4529,n.hartwell,la casa sulla collina,fratelli fabbri editori,romanzo,italiano,1968,
4530,mura,fammi bella,sonzogno,romanzo,italiano,1977,
4531,j.webster,tre ragazze americane,fratelli fabbri editori,romanzo,italiano,1968,
4532,a.rausch-huger,la porta d'oro,fratelli fabbri editori,romanzo,italiano,1968,
4533,alberto denti di pirajno,la mafiosa,longanesi,romanzo,italiano,1971,
4534,andrea newman,mirage,longanesi,romanzo,italiano,1976,
4535,n.hartwell,intermezzo messicano,fratelli fabbri editori,romanzo,italiano,1968,
4536,o.goldsmith,il vicario di wakefield,fratelli fabbri editori,romanzo,italiano,1968,
4537,j.austen,orgoglio e pregiudzio,fratelli fabbri editori,classico,italiano,1968,
4538,liala,lascia che io ti ami,sonzogno,romanzo,italiano,1977,
4539,a.ph. d'ennery,le due orfanelle,fratelli fabbri editori,romanzo,italiano,1968,
4540,liala,sottovoce o mia niny,sonzogno,romanzo,italiano,1977,
4541,j.austen,emma,fratelli fabbri editori,classico,italiano,1968,
4542,j.webster,caro nemico,fratelli fabbri editori,romanzo,italiano,1968,
4543,d.e.smith,il vestito azzurro,fratelli fabbri editori,romanzo,italiano,1968,
4544,e.bronte,cime tempestose,fratelli fabbri editori,classico,italiano,1968,
4545,liala,ritorna malinconia,sonzogno,romanzo,italiano,1977,
4546,g.eliot,il mulino sulla floss,fratelli fabbri editori,classico,italiano,1968,
4547,wilbur smith,il destino del leone,mondadori,romanzo,italiano,1981,
4548,liala,donna delizia,sonzogno,romanzo,italiano,1974,
4549,liala,non crescon fiori per abigaille,sonzogno,romanzo,italiano,1976,
4550,o.goldsmith,il vicario di wakefield,le comete,romanzo,italiano,1981,
4551,ch.bronte,jane eyre,fratelli fabbri editori,classico,italiano,1968,
4552,liala,per ritrovare quel bacio,fratelli fabbri editori,romanzo,italiano,2001,
4553,danielle steel,l'anello,sperling paperback,romanzo,italiano,1991,
4554,liala,dormire e non sognare,fabbri editori,romanzo,italiano,2001,
4555,liala,vecchio smocking,sonzogno,romanzo,italiano,1976,
4556,liala,signorsi',fabbri editori,romanzo,italiano,2001,
4557,liala,il peccato di guenda,sonzogno,romanzo,italiano,1989,
4558,g.vaj pedotti,felicita'  conquistata,fratelli fabbri editori,romanzo,italiano,1968,
4559,j.webster,papa'  gambalunga,fratelli fabbri editori,romanzo,italiano,1968,
4560,a.dumas,il tulipano nero,fratelli fabbri editori,classico,italiano,1968,
4561,g.ohnet,il padrone delle ferriere,fratelli fabbri editori,romanzo,italiano,1968,
4562,delly,il testamento del signor d'erquoy,cappelli,romanzo,italiano,1977,
4563,a.solari,un piano ben congegnato,fratelli fabbri editori,romanzo,italiano,1968,
4564,liala,le briglie d'oro,sonzogno,romanzo,italiano,1985,
4565,delly,il frutto maturo,salani,romanzo,italiano,1973,
4566,liala,fiaccanuvole,sonzogno,romanzo,italiano,1977,
4567,delly,fiori del focolare fiori del chiostro,salani,romanzo,italiano,1973,
4568,delly,l'infedele,salani,romanzo,italiano,1973,
4569,liala,il velo sulla fronte (parte III) ,sonzogno,romanzo,italiano,1977,
4570,du veuzit,l'uomo della sua vita,salani,romanzo,italiano,1975,
4571,delly,ahe'lya figlia dell'india,salani,romanzo,italiano,1973,
4572,sibilla aleramo,una donna,feltrinelli,romanzo,italiano,1950,
4573,brunella gasperini,fanali gialli,fratelli fabbri editori,romanzo,italiano,1970,
4574,ellen j.french,l'ombra di mignon,fratelli fabbri editori,romanzo,italiano,1969,
4575,liala,melodia dell'antico amore,sonzogno,romanzo,italiano,1977,
4576,delly,i gufi delle rocce rosse,cappelli,romanzo,italiano,1979,
4577,liala,sette corna,fabbri editori,romanzo,italiano,1977,
4578,autori vari,comici per un mondo migliore,mondadori,umoristico,italiano,2003,
4579,merrel,l'illusione di lucia,salani,romanzo,italiano,1975,
4580,delly,il segreto della luzette,salani,romanzo,italiano,1978,
4581,pierre l'ermite,gli uomini sono matti!...,edizioni paoline,romanzo,italiano,1967,
4582,g. sand,il marchese di villener,fratelli fabbri editori,romanzo,italiano,1968,
4583,e. boegenaes,il mondo di kitt,fratelli fabbri editori,romanzo,italiano,1968,
4584,l. de bellegarde,le piume d'oro,fratelli fabbri editori,romanzo,italiano,1968,
4585,e.burnat,sissi sul trono degli asburgo,fratelli fabbri editori,romanzo,italiano,1968,
4586,delly,lei il mio sogno,salani,romanzo,italiano,1953,
4587,delly,due amori e un destino,salani,romanzo,italiano,1953,
4588,grazia deledda,cosima,mondadori,classico,italiano,1975,
4589,lermontov,un ballo in maschera-un eroe del nostro tempo,fabbri editori,classico,italiano,1969,
4590,mann,racconti,fabbri editori,classico,italiano,1968,
4591,brentano,fiabe del reno,fabbri editori,classico,italiano,1968,
4592,gide,romanzo,fabbri editori,classico,italiano,1968,
4593,boccaccio,decameron Ii,fratelli fabbri editori,classico,italiano,1968,
4594,kipling,la luce che si spense,fabbri editori,classico,italiano,1969,
4595,gorkij,la madre,fabbri editori,classico,italiano,1968,
4596,undset,primavera,fabbri editori,classico,italiano,1969,
4597,leopardi,canti operette morali,fabbri editori,classico,italiano,1968,
4598,flaubert,madame bovary,fabbri editori,classico,italiano,1968,
4599,dante alighieri,la divina commedia-paradiso,fabbri editori,classico,italiano,1969,
4600,balzac,papa'  goriot,fabbri editori,classico,italiano,1969,
4601,ibsen,drammi,fabbri editori,classico,italiano,1968,
4602,machiavelli,il principe commedie,fabbri editori,classico,italiano,1968,
4603,wilde,il ritratto di dorian gray,fabbri editori,classico,italiano,1968,
4604,gogol',i racconti di pietroburgo-l'ispettore generale,fabbri editori,classico,italiano,1968,
4605,boccaccio,decameron I,fabbri editori,classico,italiano,1968,
4606,alain fournier,il grande meaulnes,fabbri editori,classico,italiano,1968,
4607,buchner,la morte di danton e altre opere,fabbri editori,classico,italiano,1968,
4608,austen,orgoglio e pregiudzio,fabbri editori,classico,italiano,1968,
4609,edgar alan poe,racconti,fabbri editori,classico,italiano,1969,
4610,puskin,la figlia del capitano-racconti,fabbri editori,classico,italiano,1968,
4611,manzoni,i promessi sposi I,fabbri editori,classico,italiano,1968,
4612,de maupassant,bel-ami,fabbri editori,classico,italiano,1968,
4613,dostoevskij,romanzo,fabbri editori,classico,italiano,1968,
4614,stendhal,il rosso e il nero,fabbri editori,classico,italiano,1968,
4615,lope de vega carpio,teatro,fabbri editori,classico,italiano,1968,
4616,alighieri,la divina commedia-purgatorio,fabbri editori,classico,italiano,1968,
4617,cechov,drammi,fratelli fabbri editori,classico,italiano,1968,
4618,de cervantes,novelle esemplari,fabbri editori,classico,italiano,1969,
4619,gothe,romanzo,fabbri editori,classico,italiano,1968,
4620,hamsun,fame-pan,fratelli fabbri editori,classico,italiano,1969,
4621,fogazzaro,piccolo mondo antico,fabbri editori,classico,italiano,1969,
4622,zola,teresa raquin,fabbri editori,classico,italiano,1969,
4623,defoe,moll flanders,fabbri editori,classico,italiano,1968,
4624,manzoni,promessi sposi II,fratelli fabbri editori,classico,italiano,1968,
4625,shaw,la professione della signora warren-candida-cesare e cleopatra,fabbri editori,classico,italiano,1969,
4626,hawthorne,la lettera scarlatta,fabbri editori,classico,italiano,1968,
4627,shakespeare,drammi,fabbri editori,classico,italiano,1968,
4628,jacobsen,marie grubbe,fabbri editori,classico,italiano,1969,
4629,dante alighieri,la divina commedia-inferno,fabbri editori,classico,italiano,1968,
4630,stendhal,il rosso e il nero II,fabbri editori,classico,italiano,1968,
4631,victor hugo, i miserabili,newton compton,classico,italiano,1995,
4632,austen,ragione e sentimento,newton compton,classico,italiano,1995,
4633,goethe,le affinita'  elettive: i dolori del giovane werther,newton compton,classico,italiano,1993,
4634,hawthorne,la lettera scarlatta racconti neri e fantastici,newton compton,classico,italiano,1994,
4635,fogazzaro,piccolo mondo antico,newton compton,classico,italiano,1995,
"4636,verga,i malavoglia;mastro don gesualdo;storie di una capinera,newton compton,classico,italiano,1995,"
4637,henry james,ritratto di signoera,newton compton,classico,italiano,1996,
4638,svevo,una vita nel vuoto,newton compton,classico,italiano,1985,
4639,john grisham,l'appello,mondadori,giallo/thrller,italiano,1994,
4640,menandro,commedie,mondadori,classico,italiano,1980,
4641,stieg larsson,uomini che odiano le donne,marsilio,giallo/thrller,italiano,2007,
4642,stieg larsson,la regina dei castelli di carta,marsilio,giallo/thrller,italiano,2009,
4643,stieg larsson,la ragazza che giocava con il fuoco,marsilio,giallo/thrller,italiano,2008,
4644,giampaolo simi,caccia al re,walt disney,bambini e ragazzi,italiano,2001,
4645,roger collinson,willy acchiappafantasmi e gli extraterrestri,pm,bambini e ragazzi,italiano,1997,
4646,charles dickens,david copperfield,edizioni paoline,classici per ragazzi,italiano,1989,
4647,alessandro dumas,il conte di monte cristo,fratelli fabbri editori,classici per ragazzi,italiano,1960,
4648,brian jacques,la vera storia dell'olandese volante,mondadori,narrativa,italiano,2002,
4649,omero,iliade raccontata da gianni padoan,mondadori,classici per ragazzi,italiano,1990,
4650,margherita d'amico,il respiro rubato,walt disney,bambini e ragazzi,italiano,2001,
4651,sandro veronesi,ring city,walt disney,bambini e ragazzi,italiano,2001,
4652,mario gentilini,1Â° manuale delle giovani marmotte,walt disney,bambini e ragazzi,italiano,1969,
4653,rudyard kipling,il libro della giungla,edizioni polaris,classico,italiano,1994,
4654,roberto piumini,in fuga con peter,walt disney,bambini e ragazzi,italiano,2000,
4655,barbara garlaschelli-nicoletta vallorani,la mappa del male,walt disney,bambini e ragazzi,italiano,2000,
4656,gianfranco nerozzi,una notte troppo nera,walt disney,bambini e ragazzi,italiano,2000,
4657,lia celi,la stella di chanrdapur,walt disney,bambini e ragazzi,italiano,2000,
4658,chiara rapaccini,la musica del diavolo,walt disney,bambini e ragazzi,italiano,2000,
4659,autori vari,il principe d'egitto,mondadori,bambini e ragazzi,italiano,1998,
4660,lew wallace,ben hur,piccoli,classici per ragazzi,italiano,2000,
4661,b.cleary,il birichino della sezoine c,fratelli fabbri editori,classici per ragazzi,italiano,1968,
4662,rudolph raspe,le avventure del barone di munchhausen,vallecchi,classici per ragazzi,italiano,1971,
