CODICE,AUTORE,TITOLO,CASA EDITRICE,GENERE/COLLOCAZIONE,LINGUA,ANNO EDIZIONE,;
221,luigi garlando,l'amore ai tempi di pablito,la gazzetta dello sport,biografia,italiano,1995,;
222,flavio soriga,metropolis,bompiani,romanzo,italiano,1978,;
223,maria teresa di lascia,passaggio in ombra,feltrinelli,romanzo,italiano,1993,;
224,clive cussler,tesoro,tea due,romanzo,italiano,1999,;
225,robert daley,prove apparenti,sperling,romanzo,italiano,2008,;
226,niccolo' ammaniti,come dio comanda,mondadori,romanzo,italiano,1995,;
227,mario puzo,il padrino,mondadori,giallo/thriller,italiano,2004,;
228,zane grey,il monte del tuono,sonzogno,giallo/thriller,italiano,2006,;
229,marilyn french,mia madre non mi ha mai spazzolato i capelli,club degli editori,romanzo,italiano,2008,;
230,elllis peters,il novizio del diavolo,longanesi,giallo/thriller,italiano,2008,;
231,luigi pirandello,l'uomo solo,orsa maggiore,classico,italiano,2008,;
232,richard picciotto,ultimo a uscire,mondadori,biografico,italiano,2008,;
233,doni - valentini,l'arma dello stupro,la luna,biografico/letteratura d'inchiesta,italiano,2004,;
234,g. carofiglio,le perfezioni provvisorie,sellerio editore,giallo/thriller,italiano,1995,;
235,andrea camilleri,la scomparsa di pato',mondadori,giallo/thriller,italiano,1993,;
236,francesco d'elia,gioacchino da fiore,rubbettino,antologia/critica letteraria,italiano,1999,;
237,andrea camilleri,le ali della sfinge,sellerio editore,giallo/thriller,italiano,1975,;
238,edward bunker,come una bestia feroce,mondadori,classico,italiano,2008,;
239,petronio arbitro,il satiricon,epoca,classico,italiano,1980,;
240,thich nhat hanh,il cuore dell'insegnamento del buddha,neri pozza,filosofia e religioni,italiano,2006,;
241,flora russo,la voglia pura,remo croce editore,poesie/aforismi/albi illustrati,italiano,2008,;
242,oscar wilde,aforismi,epoca,poesie/aforismi/albi illustrati,italiano,1987,;
243,gilberto casciani,gaffopoli,herald editore,umoristico e fumetti,italiano,1987,;
244,fabrizio petrelli,mandorleamare,manni,romanzo,italiano,1987,;
245,elena brandolini,la responsabilita' del sindaco dei consiglieri e degli assessori,cedam,scienze sociali,italiano,1987,;
246,andrea camilleri,la forma dell'acqua,club degli editori,giallo/thriller,italiano,1993,;
247,g. mastrangelo,angel heart,berlusconi editore,giallo/thriller,italiano,1993,;
248,marie cardinal,d'ora in poi,bompiani,romanzo,italiano,1990,;
249,robert tine,guardia del corpo,berlusconi editore,giallo/thriller,italiano,1999,;
250,h. b. gilmour,attrazione fatale,berlusconi editore,romanzo,italiano,1999,;
251,peter arnett,il mio vietnam,mondadori,saggio storico,italiano,2008,;
252,a. c. doyle,il mastino dei baskerville,mondadori,giallo/thriller,italiano,2008,;
253,grazia manni,masci'a de nnatale,manni,poesie/aforismi/albi illustrati,italiano,2008,;
254,sidney sheldon,nulla e' per sempre,sperling,romanzo,italiano,1997,;
255,l. j. braun,il gatto che leggeva alla rovescia,mondadori,giallo/thriller,italiano,1997,;
256,l. sepulveda,diario di un killer sentimentale,club degli editori,classico,italiano,1993,;
257,alex adams e william stadiem,madam 90210 - il diario che fa tremare hollywood,sperling e kupfer editori,saggi e inchieste,italiano,1993,;
258,patty dann,sirene,berlusconi editore,romanzo,italiano,1953,;
259,peter arnett,io e saddam,berlusconi editore,saggio storico,italiano,1997,;
260,vernor dixon,qualcosa per niente,longanesi,giallo/thriller,italiano,1953,;
261,daniel goleman,intelligenza emotiva,rizzoli,saggio,italiano,1994,;
262,gigi vesigna (responsabile),fantaghiro' e altre storie,berlusconi editore,narrativa,italiano,1994,;
263,autori vari (introduzione di sergio ricossa),tasse,panorama,saggi e inchieste,italiano,1992,;
264,autori vari,america america,panorama,saggi e inchieste,italiano,1992,;
265,franco curro',l'economia dalla a alla z,panorama,biografia/letteratura d'inchiesta,italiano,1992,;
266,tadeusz ulatowski,la teoria dell'allenamento sportivo,coni,saggi e inchieste,italiano,1992,;
267,autori vari,50 piccole cose che ognuno puo' fare per salvare il mondo,panorama,manuale,italiano,1992,;
268,connie brockway,una passione pericolosa,mondadori,romanzo,italiano,1997,;
269,a. maini,come andare d'accordo,viversani e belli,manuale,italiano,1997,;
270,c. o'connell,la bambina di casa winter,piemme,giallo/thriller,italiano,2007,;
271,p. antilogus,la guida del giovane papa',edt,manuale,italiano,1991,;
